                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4426,                 1.3642,                 1.2296,                0.76946,                0.59847,                0.73374,                0.47187,                 1.3578,                 1.4385,                 1.2023,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.4292,                 1.3499,                 1.2313,                0.79256,                0.65617,                0.75461,                0.49861,                 1.3221,                 1.3314,                 1.1854,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3634,                 1.3002,                 1.2063,                0.77975,                0.69963,                0.77346,                0.51227,                  1.339,                 1.2876,                 1.2044,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3864,                 1.3122,                 1.2046,                0.80011,                0.65574,                0.77251,                0.50354,                 1.2794,                 1.2738,                 1.1669,              0.0006535,              0.0006535,              0.0006535
                     38,                  1.383,                 1.2849,                 1.2284,                 0.8249,                0.69073,                0.77947,                0.51204,                 1.2611,                 1.2063,                 1.1502,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3707,                 1.2337,                 1.2135,                0.79833,                0.73685,                0.81027,                0.55746,                 1.2046,                 1.1691,                 1.1229,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3809,                 1.3306,                 1.2161,                0.83036,                0.76348,                0.84197,                0.57824,                 1.2237,                 1.1566,                 1.1369,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3255,                 1.2308,                 1.1849,                0.79782,                0.78506,                0.84334,                0.58708,                 1.2229,                 1.1335,                 1.1319,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3617,                 1.2512,                 1.2035,                0.80292,                0.72731,                0.82768,                0.57275,                 1.2359,                 1.1662,                 1.1351,               0.000604,               0.000604,               0.000604
                     43,                 1.4043,                 1.2644,                 1.2089,                0.77155,                0.74187,                0.81599,                0.54847,                 1.2741,                 1.1966,                 1.1616,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3121,                 1.2234,                 1.1869,                0.83384,                0.76863,                0.83203,                0.58773,                 1.1539,                 1.1138,                 1.1122,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.2967,                 1.1932,                  1.166,                0.85063,                0.76284,                0.83351,                0.59498,                 1.1338,                 1.0922,                 1.1037,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.2655,                  1.156,                 1.1809,                0.88074,                0.76466,                0.86561,                0.62228,                 1.1869,                 1.0448,                 1.1113,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3174,                 1.1665,                 1.1706,                0.87769,                0.79163,                 0.8806,                0.64252,                 1.1632,                 1.0231,                 1.0904,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2313,                 1.1558,                 1.1401,                0.92373,                0.81226,                0.90051,                0.67553,                 1.0709,                0.97443,                 1.0486,              0.0005446,              0.0005446,              0.0005446
